key,en,fr,es,ar
mission_span_3,credible data,données crédibles,datos creíbles,بيانات موثوقة
mission_div_1,Quality of Service Control,Contrôle de la Qualité de Service,Control de Calidad del Servicio,مراقبة جودة الخدمة
mission_div_2,Verify operator compliance with service standards and take corrective action when they fall short.,Vérifier la conformité des opérateurs aux normes de service et prendre des mesures correctives en cas de manquement.,Verificar el cumplimiento del operador con los estándares de servicio y tomar medidas correctivas cuando no se cumplan.,التحقق من امتثال المشغل لمعايير الخدمة واتخاذ الإجراءات التصحيحية عند التقصير.
mission_div_3,System Quality Improvement,Amélioration de la qualité du système,Mejora de la Calidad del Sistema,تحسين جودة النظام
mission_div_4,Support Designated Operators in identifying performance gaps and driving improvements across the system.,Soutenir les opérateurs désignés dans l’identification des écarts de performance et la conduite d’améliorations à l’échelle du système.,Apoyar a los Operadores Designados en la identificación de brechas de rendimiento y en la promoción de mejoras en todo el sistema.,دعم المشغلين المعينين في تحديد فجوات الأداء ودفع التحسينات عبر النظام.
mission_div_5,Consumer Protection,Protection des consommateurs,Protección al Consumidor,حماية المستهلك
mission_div_6,Resolve complaints with credible evidence. Ensure transparent public reporting and nationwide coverage.,Résoudre les plaintes avec des preuves crédibles. Assurer un rapport public transparent et une couverture nationale.,Resolver quejas con evidencia creíble. Garantizar informes públicos transparentes y cobertura a nivel nacional.,حل الشكاوى بأدلة موثوقة. ضمان تقارير عامة شفافة وتغطية على مستوى البلاد.
mission_div_7,Licence Management,Gestion des licences,Gestión de Licencias,إدارة التراخيص
mission_div_8,"Evaluate operators objectively for licence renewals and set clear, enforceable operating conditions.",Évaluer objectivement les opérateurs pour le renouvellement des licences et définir des conditions d’exploitation claires et applicables.,Evaluar objetivamente a los operadores para la renovación de licencias y establecer condiciones operativas claras y aplicables.,تقييم المشغلين بموضوعية لتجديد التراخيص ووضع شروط تشغيل واضحة وقابلة للتنفيذ.
global_div_11,How ONE Addresses the Challenges,Comment ONE répond aux défis,Cómo ONE Aborda los Desafíos,كيف يتعامل ONE مع التحديات
global_h2_1,Three challenges.<br/>Three structural solutions.,Trois défis.<br/>Trois solutions structurelles.,Tres desafíos.<br/>Tres soluciones estructurales.,ثلاث تحديات.<br/>ثلاث حلول هيكلية.
global_p_1,One UN-endorsed platform purpose-built for regulatory independence.,Une plateforme approuvée par l’ONU conçue spécifiquement pour l’indépendance réglementaire.,Una plataforma respaldada por la ONU diseñada específicamente para la independencia regulatoria.,منصة واحدة معتمدة من الأمم المتحدة مصممة خصيصًا للاستقلالية التنظيمية.
global_div_12,Regulators need a real-time view of network performance — not just historical reports — to act proactively.,Les régulateurs ont besoin d’une vue en temps réel de la performance du réseau — pas seulement de rapports historiques — pour agir de manière proactive.,Los reguladores necesitan una visión en tiempo real del rendimiento de la red — no solo informes históricos — para actuar de manera proactiva.,يحتاج المنظمون إلى رؤية أداء الشبكة في الوقت الحقيقي — وليس فقط تقارير تاريخية — لاتخاذ إجراءات استباقية.
global_div_13,End-to-End &amp; Network Visibility,Visibilité de bout en bout &amp; du réseau,Visibilidad de Extremo a Extremo y de la Red,رؤية شاملة من البداية للنهاية وللشبكة
global_p_2,"Through sampling or real postal events, ONE provides a near real-time view of the entire postal journey — from pick-up to final delivery.","Par échantillonnage ou événements postaux réels, ONE offre une vue quasi temps réel de l’ensemble du parcours postal — de la collecte à la livraison finale.","Mediante muestreos o eventos postales reales, ONE ofrece una visión casi en tiempo real de todo el recorrido postal — desde la recogida hasta la entrega final.",من خلال العينات أو الأحداث البريدية الحقيقية، يوفر ONE رؤية شبه فورية لكامل رحلة البريد — من الاستلام حتى التسليم النهائي.
global_div_14,Relying on a single data source — often the operator itself — undermines the independence regulators need.,S’appuyer sur une seule source de données — souvent l’opérateur lui-même — compromet l’indépendance dont les régulateurs ont besoin.,Confiar en una única fuente de datos — a menudo el propio operador — socava la independencia que necesitan los reguladores.,الاعتماد على مصدر بيانات واحد — غالبًا المشغل نفسه — يقوض الاستقلالية التي يحتاجها المنظمون.
global_div_15,Independent &amp; Verifiable Data,Données indépendantes &amp; vérifiables,Datos Independientes y Verificables,بيانات مستقلة وقابلة للتحقق
global_p_3,"An independent panel of senders with automatic EDI and RFID capture generates data that is unbiased, verifiable, and accepted by all parties.","Un panel indépendant d’expéditeurs avec capture automatique EDI et RFID génère des données impartiales, vérifiables et acceptées par toutes les parties.","Un panel independiente de remitentes con captura automática de EDI y RFID genera datos imparciales, verificables y aceptados por todas las partes.",تولّد لجنة مستقلة من المرسلين مع التقاط تلقائي لـ EDI وRFID بيانات غير متحيزة وقابلة للتحقق ومقبولة من جميع الأطراف.
global_div_16,"Without a common framework, comparing operators or benchmarking over time is unreliable — and legally contestable.","Sans cadre commun, comparer les opérateurs ou établir des références dans le temps est peu fiable — et juridiquement contestable.","Sin un marco común, comparar operadores o realizar benchmarks a lo largo del tiempo es poco fiable — y legalmente cuestionable.",بدون إطار مشترك، يصبح مقارنة المشغلين أو القياس المرجعي عبر الزمن غير موثوق — وقابل للطعن قانونيًا.
global_div_17,A UPU-Endorsed Global Standard,Une norme mondiale approuvée par l’UPU,Un Estándar Global Respaldado por la UPU,معيار عالمي معتمد من UPU
global_p_4,"The UPU provides a single, consistent methodology recognised by governments, operators, and consumers — built on 15+ years of measurement experience.","L’UPU fournit une méthodologie unique et cohérente reconnue par les gouvernements, opérateurs et consommateurs — fondée sur plus de 15 ans d’expérience en mesure.","La UPU proporciona una metodología única y consistente reconocida por gobiernos, operadores y consumidores — basada en más de 15 años de experiencia en medición.",توفر UPU منهجية واحدة ومتسقة معترف بها من الحكومات والمشغلين والمستهلكين — مبنية على أكثر من 15 عامًا من خبرة القياس.
one_ms_intro_h2_1,One Management System.<br/>Built for regulators.,One Management System.<br/>Conçu pour les régulateurs.,One Management System.<br/>Diseñado para reguladores.,One Management System.<br/>مصمم للمنظمين.
one_ms_intro_p_1,"ONE MS — One Management System — is the UPU's dedicated platform for domestic postal quality measurement. Designed exclusively for national postal regulators, it gives authorities the independent, objective, and credible data they need to enforce service standards, protect consumers, and drive systemic improvement.","ONE MS — One Management System — est la plateforme dédiée de l’UPU pour la mesure de la qualité postale domestique. Conçue exclusivement pour les régulateurs postaux nationaux, elle fournit aux autorités des données indépendantes, objectives et crédibles nécessaires pour faire respecter les normes de service, protéger les consommateurs et stimuler l’amélioration systémique.","ONE MS — One Management System — es la plataforma dedicada de la UPU para la medición de la calidad postal doméstica. Diseñada exclusivamente para reguladores postales nacionales, proporciona a las autoridades datos independientes, objetivos y creíbles que necesitan para hacer cumplir los estándares de servicio, proteger a los consumidores y promover la mejora sistémica.",ONE MS — نظام إدارة واحد — هو منصة مخصصة من UPU لقياس جودة البريد المحلي. مصمم حصريًا للمنظمين الوطنيين للبريد، يمنح السلطات بيانات مستقلة وموضوعية وموثوقة يحتاجونها لفرض معايير الخدمة، وحماية المستهلكين، ودفع التحسينات النظامية.
one_ms_intro_p_2,"Unlike generic analytics tools, ONE MS is purpose-built for the regulatory context: it integrates E2E measurement, network diagnostics, and operational oversight into a single, unified system — eliminating the need for multiple disconnected tools and manual data reconciliation.","Contrairement aux outils analytiques génériques, ONE MS est conçu spécifiquement pour le contexte réglementaire : il intègre la mesure E2E, le diagnostic réseau et la supervision opérationnelle dans un système unique et unifié — éliminant le besoin de multiples outils déconnectés et la réconciliation manuelle des données.","A diferencia de las herramientas analíticas genéricas, ONE MS está diseñada específicamente para el contexto regulatorio: integra la medición E2E, el diagnóstico de la red y la supervisión operativa en un sistema único y unificado — eliminando la necesidad de múltiples herramientas desconectadas y la conciliación manual de datos.",على عكس أدوات التحليل العامة، تم تصميم ONE MS خصيصًا للسياق التنظيمي: فهو يدمج قياس E2E، وتشخيص الشبكة، والإشراف التشغيلي في نظام موحد واحد — مما يلغي الحاجة إلى أدوات متعددة منفصلة وتسوية بيانات يدوية.
one_ms_intro_div_1,E2E,E2E,E2E,E2E
one_ms_intro_div_2,End-to-End Measurement,Mesure de bout en bout,Medición de Extremo a Extremo,القياس من البداية للنهاية
one_ms_intro_div_3,"Independent transit time data from posting to delivery, across all carriers and products.","Données indépendantes sur les temps de transit de l’envoi à la livraison, couvrant tous les transporteurs et produits.","Datos independientes de tiempo de tránsito desde el envío hasta la entrega, a través de todos los transportistas y productos.",بيانات زمن العبور المستقلة من الإرسال حتى التسليم، عبر جميع الناقلين والمنتجات.
one_ms_intro_div_4,NET,NET,NET,NET
one_ms_intro_div_5,Network Diagnostics,Diagnostic réseau,Diagnóstico de la Red,تشخيص الشبكة
one_ms_intro_div_6,RFID and barcode tracking pinpoints exactly where delays occur within the postal network.,Le suivi RFID et code-barres localise précisément où les retards se produisent dans le réseau postal.,El seguimiento por RFID y código de barras identifica exactamente dónde ocurren los retrasos dentro de la red postal.,تتبع RFID والباركود يحدد بدقة مكان حدوث التأخيرات داخل الشبكة البريدية.
one_ms_intro_div_7,OPS,OPS,OPS,OPS
one_ms_intro_div_8,Operational Control,Contrôle opérationnel,Control Operativo,التحكم التشغيلي
one_ms_intro_div_9,"Full panelist management, materials tracking, SLA monitoring and automated reporting in one place.","Gestion complète des panélistes, suivi des matériaux, surveillance des SLA et rapports automatisés en un seul endroit.","Gestión completa de panelistas, seguimiento de materiales, monitoreo de SLA e informes automatizados en un solo lugar.",إدارة كاملة لأعضاء اللجنة، وتتبع المواد، ومراقبة اتفاقيات مستوى الخدمة، والتقارير الآلية في مكان واحد.
one_ms_intro_div_10,UPU,UPU,UPU,UPU
one_ms_intro_div_11,UN-Backed Authority,Autorité soutenue par l’ONU,Autoridad Respaldada por la ONU,السلطة المدعومة من الأمم المتحدة
one_ms_intro_div_12,Developed and maintained by the Universal Postal Union — trusted by regulators worldwide.,Développé et maintenu par l’Union postale universelle — reconnu par les régulateurs du monde entier.,Desarrollado y mantenido por la Universal Postal Union — confiable para reguladores en todo el mundo.,تم تطويره وصيانته من قبل الاتحاد البريدي العالمي — موثوق به من قبل المنظمين حول العالم.
global_h3_1,See the platform in action.<br/>Talk to the ONE team.,Voir la plateforme en action.<br/>Parlez à l’équipe ONE.,Vea la plataforma en acción.<br/>Hable con el equipo de ONE.,شاهد المنصة أثناء العمل.<br/>تحدث إلى فريق ONE.
platform_h2_1,Six capabilities.<br/>One integrated platform.,Six capacités.<br/>Une plateforme intégrée.,Seis capacidades.<br/>Una plataforma integrada.,ست قدرات.<br/>منصة متكاملة واحدة.
platform_p_1,"ONE is built around six core modules — each addressing a specific operational need of the modern postal regulator. Together, they form a complete, end-to-end measurement and oversight system.","ONE est construit autour de six modules principaux — chacun répondant à un besoin opérationnel spécifique du régulateur postal moderne. Ensemble, ils forment un système complet de mesure et de supervision de bout en bout.","ONE está construido alrededor de seis módulos centrales — cada uno abordando una necesidad operativa específica del regulador postal moderno. Juntos, forman un sistema completo de medición y supervisión de extremo a extremo.",تم بناء ONE حول ست وحدات أساسية — كل منها يعالج حاجة تشغيلية محددة للمنظم البريدي الحديث. معًا، تشكل نظام قياس وإشراف كامل من البداية للنهاية.
platform_a_1,Multi-Carrier &amp; Multi-Product,Multi-transporteur &amp; multi-produit,Multi-Carrier y Multi-Producto,متعدد الناقلين ومتعدد المنتجات
platform_a_2,SLA &amp; Real-Time Monitoring,Surveillance SLA &amp; en temps réel,Monitoreo de SLA y en Tiempo Real,مراقبة اتفاقية مستوى الخدمة والوقت الحقيقي
platform_a_3,Allocation Plan Management,Gestion du plan d’allocation,Gestión del Plan de Asignación,إدارة خطة التخصيص
platform_a_4,Materials &amp; Stock Management,Gestion des matériaux &amp; des stocks,Gestión de Materiales y Stock,إدارة المواد والمخزون
platform_a_5,Mobile Agent App,Application Mobile Agent,Aplicación Móvil para Agentes,تطبيق الوكيل المحمول
plat_mc_div_1,Core Platform,Plateforme Centrale,Plataforma Central,المنصة الأساسية
plat_mc_h2_1,Multi-carrier and<br/>multi-product solution,Solution multi-transporteur et<br/>multi-produit,Solución multioperador y<br/>multiproducto,حل متعدد الناقلين<br/>ومتعدد المنتجات
plat_mc_p_1,"ONE measures all postal operators and all product types under a single, consistent UPU-endorsed methodology. No custom frameworks, no exceptions — every carrier on a level playing field.","ONE mesure tous les opérateurs postaux et tous les types de produits selon une méthodologie unique, cohérente et approuvée par l’UPU. Pas de cadres personnalisés, pas d’exceptions — chaque transporteur sur un pied d’égalité.","ONE mide a todos los operadores postales y todos los tipos de productos bajo una única metodología consistente avalada por la UPU. Sin marcos personalizados, sin excepciones — todos los operadores en igualdad de condiciones.",يقيس ONE جميع مشغلي البريد وجميع أنواع المنتجات تحت منهجية واحدة ومتسقة معتمدة من UPU. لا أُطر مخصصة، لا استثناءات — كل ناقل على قدم المساواة.
plat_mc_strong_1,All carriers measured identically,Tous les transporteurs mesurés de manière identique,Todos los operadores medidos de forma idéntica,جميع الناقلين يُقاسون بنفس الطريقة
plat_mc_strong_2,All product types covered,Tous les types de produits couverts,Todos los tipos de productos cubiertos,تغطية جميع أنواع المنتجات
plat_mc_strong_3,Directly comparable results,Résultats directement comparables,Resultados directamente comparables,نتائج قابلة للمقارنة مباشرة
plat_mc_strong_4,Legally defensible data,Données juridiquement défendables,Datos legalmente defendibles,بيانات قابلة للدفاع القانوني
plat_mc_div_2,Carrier &amp; Product Coverage Matrix,Matrice de couverture des transporteurs et produits,Matriz de Cobertura de Operadores y Productos,مصفوفة تغطية الناقل والمنتج
plat_mc_th_1,Carrier Type,Type de transporteur,Tipo de Operador,نوع الناقل
plat_mc_th_2,Letters,Lettres,Cartas,الرسائل
plat_mc_th_3,Parcels,Colis,Paquetes,الطرود
plat_mc_th_4,Express,Express,Exprés,التوصيل السريع
plat_mc_th_5,Registered,Recommandé,Certificados,المسجل
plat_mc_td_1,Designated Operator,Opérateur désigné,Operador Designado,المشغل المعين
plat_mc_td_2,Private Carrier A,Transporteur privé A,Operador Privado A,الناقل الخاص أ
plat_mc_td_3,Private Carrier B,Transporteur privé B,Operador Privado B,الناقل الخاص ب
plat_mc_td_4,Regional Operator,Opérateur régional,Operador Regional,المشغل الإقليمي
plat_mc_div_3,Same methodology applied to all — results are directly comparable regardless of operator type.,Même méthodologie appliquée à tous — les résultats sont directement comparables quel que soit le type d’opérateur.,La misma metodología aplicada a todos — los resultados son directamente comparables independientemente del tipo de operador.,تُطبق نفس المنهجية على الجميع — النتائج قابلة للمقارنة مباشرة بغض النظر عن نوع المشغل.
plat_mc_div_4,Measurement Scope,Portée de la mesure,Alcance de la Medición,نطاق القياس
plat_mc_div_5,Product categories per carrier,Catégories de produits par transporteur,Categorías de productos por operador,فئات المنتجات لكل ناقل
plat_mc_div_6,Unified methodology for all,Méthodologie unifiée pour tous,Metodología unificada para todos,منهجية موحدة للجميع
plat_mc_div_7,Comparable results across operators,Résultats comparables entre opérateurs,Resultados comparables entre operadores,نتائج قابلة للمقارنة عبر المشغلين
plat_mc_div_8,Methodological disputes,Litiges méthodologiques,Disputas metodológicas,النزاعات المنهجية
plat_sla_div_1,Live SLA Compliance Dashboard,Tableau de bord de conformité SLA en temps réel,Panel de Cumplimiento SLA en Vivo,لوحة متابعة الالتزام بالاتفاقية الزمنية الحية
plat_sla_div_2,Carrier A · Priority Letter,Transporteur A · Lettre prioritaire,Operador A · Carta Prioritaria,الناقل أ · رسالة أولوية
plat_sla_div_3,J+3 target: 85%,Objectif J+3 : 85 %,Objetivo J+3: 85%,الهدف J+3: 85%
plat_sla_div_4,94.2% ✓,"94,2 % ✓",94.2% ✓,94.2% ✓
plat_sla_div_5,Carrier A · Parcel,Transporteur A · Colis,Operador A · Paquete,الناقل أ · طرد
plat_sla_div_6,J+5 target: 80%,Objectif J+5 : 80 %,Objetivo J+5: 80%,الهدف J+5: 80%
plat_sla_div_7,88.1% ✓,"88,1 % ✓",88.1% ✓,88.1% ✓
plat_sla_div_8,Carrier B · Priority Letter,Transporteur B · Lettre prioritaire,Operador B · Carta Prioritaria,الناقل ب · رسالة أولوية
plat_sla_div_9,J+3 target: 85%,Objectif J+3 : 85 %,Objetivo J+3: 85%,الهدف J+3: 85%
plat_sla_div_10,Carrier C · Priority Letter,Transporteur C · Lettre prioritaire,Operador C · Carta Prioritaria,الناقل ج · رسالة أولوية
plat_sla_div_11,J+3 target: 85%,Objectif J+3 : 85 %,Objetivo J+3: 85%,الهدف J+3: 85%
plat_sla_div_12,61.3% ✗,"61,3 % ✗",61.3% ✗,61.3% ✗
plat_sla_div_13,Carrier B · Express,Transporteur B · Express,Operador B · Exprés,الناقل ب · التوصيل السريع
plat_sla_div_14,J+1 target: 90%,Objectif J+1 : 90 %,Objetivo J+1: 90%,الهدف J+1: 90%
plat_sla_div_15,91.4% ✓,"91,4 % ✓",91.4% ✓,91.4% ✓
plat_sla_div_16,Automated alert triggered when compliance falls below SLA threshold. Regulator notified in real time.,Alerte automatisée déclenchée lorsque la conformité descend en dessous du seuil SLA. Le régulateur est notifié en temps réel.,Alerta automática activada cuando el cumplimiento cae por debajo del umbral SLA. Regulador notificado en tiempo real.,يتم تفعيل التنبيه التلقائي عند انخفاض الالتزام تحت عتبة الاتفاقية الزمنية. يتم إخطار الجهة المنظمة في الوقت الحقيقي.
plat_sla_div_17,ALERT — SLA BREACH DETECTED,ALERTE — VIOLATION DU SLA DÉTECTÉE,ALERTA — INCUMPLIMIENTO DE SLA DETECTADO,تنبيه — تم الكشف عن خرق SLA
plat_sla_div_18,Carrier C · Priority Letter · Capital Region: 61.3% vs 85% target. Corrective action required within 30 days per licence conditions.,"Transporteur C · Lettre Prioritaire · Région Capitale : 61,3 % vs objectif de 85 %. Action corrective requise sous 30 jours conformément aux conditions de licence.",Transportista C · Carta Prioritaria · Región Capital: 61.3% vs objetivo 85%. Se requiere acción correctiva dentro de 30 días según condiciones de la licencia.,الناقل C · رسالة أولوية · منطقة العاصمة: 61.3% مقابل هدف 85%. مطلوب اتخاذ إجراء تصحيحي خلال 30 يومًا وفقًا لشروط الترخيص.
plat_sla_div_19,Compliance Engine,Moteur de conformité,Motor de Cumplimiento,محرك الامتثال
plat_sla_h2_1,SLA definition and<br/>real-time monitoring,Définition du SLA et<br/>suivi en temps réel,Definición de SLA y<br/>monitoreo en tiempo real,تعريف SLA و<br/>المراقبة في الوقت الحقيقي
plat_sla_p_1,"Define delivery standards per carrier, product and route. ONE monitors compliance continuously and triggers automated alerts the moment a threshold is breached — giving regulators the evidence to act.","Définir les normes de livraison par transporteur, produit et itinéraire. ONE surveille la conformité en continu et déclenche des alertes automatisées dès qu’un seuil est dépassé — fournissant aux régulateurs les preuves nécessaires pour agir.","Defina estándares de entrega por transportista, producto y ruta. ONE monitorea el cumplimiento continuamente y activa alertas automáticas en el momento en que se supera un umbral — proporcionando a los reguladores la evidencia para actuar.",تحديد معايير التسليم لكل ناقل، منتج ومسار. يقوم ONE بمراقبة الامتثال بشكل مستمر ويطلق تنبيهات آلية فور تجاوز العتبة — مما يمنح الجهات التنظيمية الأدلة اللازمة لاتخاذ الإجراءات.
plat_sla_strong_1,Configurable J+K targets,Objectifs J+K configurables,Objetivos J+K configurables,أهداف J+K قابلة للتكوين
plat_sla_strong_2,Real-time breach detection,Détection des violations en temps réel,Detección de incumplimientos en tiempo real,كشف الخروقات في الوقت الحقيقي
plat_sla_strong_3,Historical trend analysis,Analyse des tendances historiques,Análisis de tendencias históricas,تحليل الاتجاهات التاريخية
plat_sla_strong_4,Regulator-ready evidence,Preuves prêtes pour les régulateurs,Evidencia lista para reguladores,أدلة جاهزة للجهات التنظيمية
plat_alloc_div_1,Operations,Opérations,Operaciones,العمليات
plat_alloc_h2_1,Intelligent allocation<br/>plan management,Gestion intelligente<br/>du plan d’allocation,Gestión inteligente<br/>de planes de asignación,إدارة خطة التخصيص<br/>الذكية
plat_alloc_p_1,"ONE automatically generates and manages statistically valid sampling plans across all routes, carriers and products. Plans adapt dynamically to network changes, seasonal demand and evolving regulatory priorities.","ONE génère et gère automatiquement des plans d’échantillonnage statistiquement valides sur tous les itinéraires, transporteurs et produits. Les plans s’adaptent dynamiquement aux changements du réseau, à la demande saisonnière et aux priorités réglementaires évolutives.","ONE genera y gestiona automáticamente planes de muestreo estadísticamente válidos en todas las rutas, transportistas y productos. Los planes se adaptan dinámicamente a cambios en la red, demanda estacional y prioridades regulatorias en evolución.",يقوم ONE تلقائيًا بإنشاء وإدارة خطط أخذ عينات إحصائية صالحة عبر جميع المسارات والناقلين والمنتجات. تتكيف الخطط ديناميكيًا مع تغييرات الشبكة، الطلب الموسمي والأولويات التنظيمية المتطورة.
plat_alloc_strong_1,Statistically valid sampling,Échantillonnage statistiquement valide,Muestreo estadísticamente válido,أخذ عينات إحصائية صالحة
plat_alloc_strong_2,Dynamic adaptation,Adaptation dynamique,Adaptación dinámica,تكيف ديناميكي
plat_alloc_strong_3,Seasonal campaign support,Soutien aux campagnes saisonnières,Soporte para campañas estacionales,دعم الحملات الموسمية
plat_alloc_strong_4,Panelist workload balancing,Équilibrage de la charge des panélistes,Balanceo de carga de panelistas,توازن عبء العمل بين المشاركين
plat_alloc_div_2,Allocation Plan — Current Quarter,Plan d’allocation — Trimestre en cours,Plan de Asignación — Trimestre Actual,خطة التخصيص — الربع الحالي
plat_alloc_div_3,Route,Itinéraire,Ruta,المسار
plat_alloc_div_4,Items/month,Articles/mois,Artículos/mes,العناصر/الشهر
plat_alloc_div_5,Panelists,Panélistes,Panelistas,المشاركون
plat_alloc_div_6,Capital → North,Capitale → Nord,Capital → Norte,العاصمة → الشمال
plat_alloc_div_7,Capital → South,Capitale → Sud,Capital → Sur,العاصمة → الجنوب
plat_alloc_div_8,Capital → East,Capitale → Est,Capital → Este,العاصمة → الشرق
plat_alloc_div_9,North → South,Nord → Sud,Norte → Sur,الشمال → الجنوب
plat_alloc_div_10,Rural zones,Zones rurales,Zonas rurales,المناطق الريفية
plat_alloc_div_11,Plan Health,Santé du plan,Estado del Plan,صحة الخطة
plat_alloc_span_1,Statistical confidence,Confiance statistique,Confianza estadística,الثقة الإحصائية
plat_alloc_span_2,95% ✓,95 % ✓,95% ✓,95% ✓
plat_alloc_span_3,Routes covered,Itinéraires couverts,Rutas cubiertas,المسارات المغطاة
plat_alloc_span_4,100% ✓,100 % ✓,100% ✓,100% ✓
plat_alloc_span_5,Seasonal adjustment,Ajustement saisonnier,Ajuste estacional,التعديل الموسمي
plat_alloc_span_6,Q4 +30% ↑,T4 +30 % ↑,T4 +30% ↑,الربع الرابع +30% ↑
plat_alloc_span_7,Panelist utilisation,Utilisation des panélistes,Utilización de panelistas,استخدام المشاركين
plat_alloc_span_8,87% ✓,87 % ✓,87% ✓,87% ✓
plat_alloc_div_12,Plan auto-generated by ONE MS. Manual override available for regulator-defined priority routes.,Plan généré automatiquement par ONE MS. Possibilité d’override manuel pour les itinéraires prioritaires définis par les régulateurs.,Plan autogenerado por ONE MS. Anulación manual disponible para rutas prioritarias definidas por reguladores.,الخطة مولدة تلقائيًا بواسطة ONE MS. التبديل اليدوي متاح للمسارات ذات الأولوية المحددة من قبل الجهات التنظيمية.
plat_stock_div_1,Materials &amp; Stock Overview,Aperçu des matériaux &amp; stocks,Resumen de Materiales y Stock,نظرة عامة على المواد والمخزون
plat_stock_div_2,Test letters (Priority),Lettres test (Prioritaire),Cartas de prueba (Prioritarias),رسائل اختبار (أولوية)
plat_stock_div_3,Test parcels (Standard),Colis test (Standard),Paquetes de prueba (Estándar),طرود اختبار (عادية)
plat_stock_div_4,LOW,FAIBLE,BAJO,منخفض
plat_stock_div_5,RFID tags (Diagnostic),Étiquettes RFID (Diagnostic),Etiquetas RFID (Diagnóstico),علامات RFID (تشخيصية)
plat_stock_div_6,Barcoded labels,Étiquettes à code-barres,Etiquetas con código de barras,ملصقات مشفرة بالباركود
plat_stock_div_7,REORDER,RECOMMANDER,REORDENAR,إعادة الطلب
plat_stock_div_8,Traceability Log — Last 24h,Journal de traçabilité — Dernières 24h,Registro de trazabilidad — Últimas 24h,سجل التتبع — آخر 24 ساعة
plat_stock_span_1,48 items dispatched to Panelist Group North,48 articles expédiés au Groupe de Panélistes Nord,48 artículos despachados al Grupo de Panelistas Norte,48 عنصرًا تم إرسالها إلى مجموعة المشاركين شمالًا
plat_stock_span_2,12 items returned &amp; logged — City A,12 articles retournés &amp; enregistrés — Ville A,12 artículos devueltos y registrados — Ciudad A,12 عنصرًا تم إرجاعها وتسجيلها — المدينة أ
